Id,Reviews,Emotion
11,"If you agree with the 'family comes first"" motto, but are tired of it being linked solely to the muscular bald guys and fast cars, then Coco will become a pleasant refreshment for you. A lush and lovingly made animation film based on the Dia de los Muertos theme from the Mexican culture, it is a touching experience and a joy to watch.However, after all the praise Coco received from all around, the actual viewing experience has left me slightly disappointed. Maybe because I did watch The Book of Life, another animation inspired by the Dia de los Muertos lore and featuring the similar ""family wishes vs personal destination"" conflict, a film some consider Coco to be a rip-off of. Or maybe it's because, despite all its pretty visuals, cute characters and singing solid enough, Coco clearly doesn't invest too much into having more than a single layer of meaning.You see, here we have a painted prettily and with lots of fizzy buoyant quirks, but still a rather simplistic take on the eternal topic of love's duality and generations' conflict. A kid who loves music, but hatred for it is a family trait for several generations, so he embarks on an unexpected journey through the world of the dead to find a way to unite again what has once been separated and to mend what was once broken. And to sing a few songs and to battle some personal fears while he's at it. There are some nice and emotional scenes along the way, and some lessons learned for some characters, but it's still more or less a linear journey from A to B where good is mostly good (although not without a typical feminine touch of a raging maelstrom of emotionality), and bad is, well, at least clearly selfish from the get-go, and then it's plain outright evil.What is missing in my opinion is the multi-facet delivery, or at least a deeper morals of the story. Sure, ""love your relatives and do what you believe in"" is cool, but ain't it what every single animated film is eventually about? And you could reach the ending inevitable for such genre with some more convoluted and morally difficult effort than just being a boisterous music prodigy with tons of luck to his aid.It's not a good idea to criticize art for not meeting your expectations. After all, nobody does it just for you, so why what you think must matter at all? Still, if you are not too fond of stories being rather straightforward, then Coco might feel somewhat shallow. And if you're not a kid who loves everything shiny and moving, then the second half of the film might feel kinda random, slapstick'y and, at times, on seriously heavy drugs (the color-changing monkey burping blue flames or multiple Frida Kahlos crawling out of a giant papaya to drink an even more giant cactus' tears being some examples). For you, I might recommend watching The Book of Life instead, which, albeit arguably less glossy and vibrant visually, has a story much more complex and not stamping ""good"" and ""evil"" labels on things, thus showing the duality of people and of the life itself.For everyone else, go ahead and watch this film. For its loving care for the Mexican traditions, sharing not just the language but also the passion for something outside the typical Western outlook. And clearly for the multiple Frida Kahlos crawling out of a giant papaya - that was hilarious beyond all sane measure!",frustrated
12,"I am very glad I saw ""Coco"" and understand exactly why it won the Oscar for Best Animated Feature, as it's terrifically entertaining, fun to watch...and quite touching as well.The story is set around Día de Muertos, the Mexican Day of the Dead. Miguel is a nice little boy whose family, inexplicably, HATE music and insist he never can grow up to become a musician. And, wouldn't you know it, but that's EXACTLY what the boy wants to become one day. But after destroying his homemade guitar, he is unable to enter a music contest...so he decides to take one from the local cemetery. Not surprisingly, this creates all sorts of problems...and Miguel is transported to the land of the dead. What's next? Just see the film!The CGI for this film is simply the best you'll currently find...putting it well above the quality of competing studios, such as Universal and Fox. In addition, the scope of the images is just breathtaking....and a treat to see on the big screen. Additionally, the songs, story and characters are all lovely. One warning, however, is that this film will very likely start you crying now and again...be sure to have some tissues nearby, just in case. A must-see film.",frustrated
13,"Coco (2017) is an animated film co-directed by Lee Unkrich and Adrian Molina. It is a story set in the fictitious Mexican town of Santa Cecilia, where young Miguel (Anthony Gonzalez) embarks on a journey when his passion in life and dreams are called into question by his family. All Miguel wants from this life is emulating the great and famous singer Ernesto de la Cruz (Benjamin Bratt) but his abuela and relatives oppose. Miguel must come to terms with his family and return back home after he disrespects the ""dia de los muertos"" tradition and a curse falls upon him, trapping him with the dead. He finds help from the deceased Hector (Gael Garcia) and members of his family like Mama Imelda (Alana Ubach) as he finds a way to express his talents and learns family history. At its core Coco is a story about passion, memory and family. Miguel follows a story arch where he must learn self value, bravery and the value of being true to one's self while remaining loyal to family, respecting tradition and remembering one's past in the form of family history. With a reputation for great storytelling, juggernauts Disney and Pixar have found a way to tell a story with such a worn arch with a new and authentic style. A lesson is learned by almost every main character as they grow and develop. Passion is pitted against tradition (and perhaps stubborn customs) and the outcome produces strong emotions on the viewer. At times the story felt carried itself with the drama and flair of a Mexican ""Telenovela"". These are some rich themes for what may be considered a ""kid's film"" but they develop organically and are never forced. However the film doesn't lack that slapstick humour or easy and quirky kid's comedy (Especially present in the playfulness of the dead characters' bones). The production team made a respectable effort preparing for the production of this film, and the results were worthwhile and evident. The film is brilliantly set in Mexico, showcasing a wide range of customs and cultural icons that made the film feel authentic. Everything from Mexican cuisine (Like tacos, tamales or ""pan de muerto"") to celebrities (Like Frida Kahlo, El Santo, Pedro Infante or Cantinflas) make an appearance. Traditional ""Mariachi"" or ""Charro"" suits and elaborate woman hairstyles are accurately represented. Mexican family culture is accurately represented from the respect towards our loving, stern and kiss filling abuelas, to that spicy and sassy personality characteristic of Mexican and Latin women. Even the idolization of popular musical icons, similar to Ernesto de la Cruz in the film, resembles the decades old fascination with the likes of actual celebrities like Pedro Infante or Jose Alfredo Jimenez. I authentically felt the story was set in a real, picturesque Mexican pueblo. Every small detail felt in place and that enhanced the story. The film understands and respects the traditions of ""dia de los muertos"" while giving it a modern twist. Despite the difficulties, and risks, that come with portraying such a rich and complex culture the film makes a much appreciated effort in introducing a side of Mexican culture that is at times neglected in favour of easy-to-go stereotypes.The film felt beautifully animated with intricate finger movements while playing a worn-out guitar or the miniscule pores and imperfections of the bones. Visually gorgeous and impressive the film makes use of a brightly coloured pallet, like with the rich orange used for the ""cempazuchitl"" flowers or the ""papel picado"" banners. The music fit perfectly with the tone used for the story and never stopped having a particularly Mexican flavour from the use of the guitar or trumpets to the ""marimba"". The score continued to set the story appropriately. Coco is carried by memorable fun moments, like Miguel's encounter with exotic Frida Kahlo, and beautiful and emotionally filled ones, such as that of the last act which grounded the story's themes of love for music and family during a scene that is sure to invoke a tear or two. Despite a few moments where it felt that the plot was driven by the oversimplified and unexplained mechanics of the curse, the film in general doesn't stop being the memorable and enjoyable experience of a familiar story executed with fresh and authentic style.",happy
14,"Leaving a review because I'm blown away at the amount of 9's and 10's I'm seeing for this movie, do you all have kids movies on a different scale? To me a movie is a movie and this was good for a kids movie but still incredibly formulaic with an obvious ending. I guess we'll have to see how much lower the score goes for this movie as at the time of this review its a 9/10, but its still just shocking to me to see it that high even though it's early. It truly is Pixar's 8th best movie at most and it's an alright idea but at the end of the day it's just a check all the boxes average movie. And that's okay; it's an alright kids movie but it doesn't deserve the praise people are showering it with.",frustrated
15,As a Mexican born child I cried when I saw this movie and my son who is American born with Mexican parents loves it too.. love to teach him about our roots,frustrated
16,"I'm a 24 year old student who sometimes tends to overthink about the values of life and how one, including myself, expresses these kinds of thoughts through every form of art that tells a story. So as a person that really puts his soul to a movie he watches I have to say that this film is one of the most beautiful things I've ever had the pleasure of witnessing.Coco does a fantastic job of capturing the viewer from the first moment. It cleverly captures the beauty of the ""Day of the Dead"" tradition, by unfolding one of the most heartwarming stories I've ever seen in a movie, around it. The film features a young Musician called Miguel and the pursuit of his dream of being a musician against his family's approval. Throughout the movie while Miguel engages in an adventurous journey through the land of the dead, he is caught between the love he has for music and the importance of family bonds. 
Quiet a simple and pretty well covered subject. Somehow, Coco manages to so simply and beatifully capture the essence of what it means to be human. What it means to love and what it means to have passion for the things and the people you love. The story was told in such an elegant way that it didn't make me think about the values it represented, but instead it made me feel them, without me even analysing what I was watching. It did it so gradually that at some point near the end I was so overwhelmed by a scene, which definetely goes to my ""top 10 best movie scenes"" list, that I caught myself crying. Not tearing up like I usually do when a scene touches me. Actually crying.I could go on and on about Coco, but I'll leave with saying that this is a fantastic movie and I honestly feel grateful that I had the chance to watch it.A must see!!!",happy
17,"""Coco"" is the best animated film from Pixar and the best animated film of the present time. The script full of Mexican traditions and customs is rich in story, which is deep and emotional. The animation is impressive capturing the magic of Mexico and día de muertos, with colorful cinematography and tremendous characters. The voice work of the Mexican and Mexican-American actors is impressive, each voice full of emotions and with a great talent for singing that excels in each musical theme. ""Coco"" is the best film based on a Latin American country, a masterpiece!",happy
18,"I'm not an animated movie fan per se, so this one caught me in just the right frame of mind or it was indeed brilliantly done. Probably the latter because I'd have no qualms about watching it again, as it was cleverly written, very colorful and had an unusually interesting story line. Not to mention that it had enough Espanol sprinkled in to make my four years of high school Spanish appropriately worthwhile. I also enjoyed some of the traditional folk concepts introduced by the story, like the Mexican 'Dia de Los Muertos', the annual Day of the Dead Celebration, along with it's fantastical sprit creatures called 'alebrijes'. One thing you'll have to do is pay attention at the beginning of the story to understand the relationship of young Miguel to his past and present family members; we go back in time all the way to his great-great grandfather, which turns out to be one of the twists in the story. At first I was upset that Ernesto de la Cruz turned out to be a villain, but the story handled that switch perfectly and helped inspire the entire Rivera Family to love music once again. The best concept for me however was in the explanation of how the spirits in the afterworld disappeared when there was no one left alive to think about them any more. Thoughtful families would do well to take that instruction to heart to keep alive the memories and traditions of their ancestors from the past.",happy
19,"I may be biased, since this movie portrayed perfectly what life is all about in a small Mexican town. Or, perhaps I wanted to see Pixar really get back on the game. Go beyond Up, and make a complete movie that was as beautiful as the first 20 minutes of Wall-E.I got my wish. This is the movie I wanted Pixar to make, once again. A movie about what family means. A movie about the choices we make, and the roads not taken. This is a stunning work of art. It'll move you from happiness to tears, from memories of the past to the joy of the future. To understanding, to remembrance. To the joys and pains of being alive.I can't even begin to imagine how Pixar made a movie about life and death that is so colorful, so absorbing, so poignant, and so approachable for kids, and with so many layers upon layers upon layers of meaning and significance for adults.To watch Coco is to love Coco, and to remember the Cocos in your life that are no longer among us.Thank you, Pixar.",happy
20,"Like the culture of the dead embodied in the film, they worship the dead without sadness, and even sing and dance, singing and laughing, to commemorate the reunion with the deceased family members gathered together. Before I was afraid to hear and see and spirit, ghost related topics, those words in my impression is associated with terror, but let me after seeing this film has the different understanding to the dead, people become dead still have colorful life after death, have relatives, friends, there are joys and sorrows, is no longer so afraid of death. As long as the world remembers, it will still exist in this world, only when the world is completely forgotten, that is, when you no longer have anything to do with the world, will be turned into a golden powder, facing real death",angry
21,"It was cute, silly, and sad all in one. They should make a part 2",angry
22,"Despite the obvious following of the tear jerking formula, Pixar, makes you care every time. You can clearly see how they abuse same archetypes: family , children, dogs, death. Same plot twists of good guy turns out to be bad etc. You still totally lost in it and somehow care every time. Now they adopted ""disney singing"". you can see how they perfecting template of a weaponized tear jerking in a cartoon form. It is not nearly close to Wall-e or Up but as far away from Cars.",frustrated
23,We came across with the movie when flipping the channels. No idea what it was and ended up watching one of the best movies ever,happy
24,"Coco is an animated film, centered on Mexican culture and Latino music, and mostly celebrated in Mexico, which is no big surprise. I liked the message (or maybe messages) it suggests to a child audience and also the whole idea of representing the world of the dead. However, as with most Disney films, everything gets excessively sentimental and ""Disneyfied"" here, not offering too much to the adult audience and making it simply a children's film. The film uses many (potentially) powerful assets to build up a great piece, but sadly it fails in most departments. For instance, we see the dead people made out of moving bones and adjustable skeletons, but very few ""funny"" gags are developed out of this rich context. Any reasons why? Because film makers were seemingly more fascinated by the overall looks and visual elements of the film, rather than being creative and genuine. The film is about music, but you can't really find a decent score throughout the whole film and the beats are not catchy enough to stay with you afterwards. Miguel enters the land of the dead right after he steals a guitar, but no further explanations are given about how and why did this journey happen to this particular boy? I count that as a plot hole. One implicit lesson embedded into this film, which is a big plus also, is about recognizing the unknown and uncredited artists that are actually the real backbones of the industry, and give credit to them, where credit is due. But surprisingly, the villain of the film, Ernesto de la cruz, who is a legendary singer-songwriter and also a big liar, is an exact replica of Queen's Freddie Mercury, with his shaded eyes, striking cheekbones and that iconic suit. Actually the reference couldn't get more blatant right after he threw Miguel off the cliff and said: ""The Show Must Go On!"" What a coincidence? And why do you have to reference a real world legend as a deceiver? All in all, despite all its good moments, Coco didn't meet my overall expectations.",frustrated
25,"Honestly, I wasn't amazed or fantacised by 'Coco'. It's nowhere even near the same level as Toy Story 3, Inside Out, Up and WALL•E. It went on for too long, some scenes dragged and weren't that entertaining. The first half especially was extremely dull, I literally just didn't know why I was watching the film. But the day of the dead scenes were kinda entertaining and quite a bit of fun. That was really when the film started to pick itself up a bit. The animation is spectacular and I'm glad that Pixar satisfied me with their stunning visuals, like they always do. The characters are good-fun and are people you can definitely relate to. Miguel is a great lead and when he's stuck with these skeleton-like people (I don't know what to call them, sorry!), it really is a lot of fun and entertaining. Although I didn't even enjoy Coco that much, I'm pretty sure you will, I'm pretty sure you'd like to watch it.I enjoyed this one less then Cars 3 but give it a watch, and if you don't want to, don't. The first 40-50 minutes you may not be entertained or satisfied like I was, but you will be surprised and amazed and the second half. My overall review of the film is that it's not bad, watch it if you want to.",happy
